symbol,shortName,longName,exchange,market,quoteType
IBKR,interactive-brokers-group,"Interactive Brokers Group, Inc.",NASDAQ,us_market,EQUITY
LSI,,"Life Storage, Inc.",NYSE,us_market,EQUITY
CPT,,Camden Property Trust,NYSE,us_market,EQUITY
MOH,molina-healthcare,Molina Healthcare Inc,NYSE,us_market,EQUITY
BLDR,builders-firstsource,"Builders FirstSource, Inc.",NYSE,us_market,EQUITY
MPW,,"Medical Properties Trust, Inc.",NYSE,us_market,EQUITY
NDSN,nordson,Nordson Corporation,NASDAQ,us_market,EQUITY
TRGP,targa-resources,"Targa Resources, Inc.",NYSE,us_market,EQUITY
MASI,masimo,Masimo Corporation,NASDAQ,us_market,EQUITY
JLL,jones-lang-lasalle,Jones Lang LaSalle Incorporated,NYSE,us_market,EQUITY
GGG,graco,Graco Inc.,NYSE,us_market,EQUITY
WTRG,,"Essential Utilities, Inc.",NYSE,us_market,EQUITY
EWBC,east-west-bancorp,"East West Bancorp, Inc.",NASDAQ,us_market,EQUITY
CGNX,cognex,Cognex Corporation,NASDAQ,us_market,EQUITY
CSL,carlisle-cos,Carlisle Companies Incorporated,NYSE,us_market,EQUITY
TREX,trex-company,"Trex Company, Inc.",NYSE,us_market,EQUITY
STLD,steel-dynamics,"Steel Dynamics, Inc.",NASDAQ,us_market,EQUITY
WOLF,wolfspeed,"Wolfspeed, Inc.",NYSE,us_market,EQUITY
RPM,rpm-international,RPM International Inc.,NYSE,us_market,EQUITY
FICO,fair-isaac,Fair Isaac Corporation,NYSE,us_market,EQUITY
LAMR,,Lamar Advertising Company,NASDAQ,us_market,EQUITY
WSO,watsco,"Watsco, Inc.",NYSE,us_market,EQUITY
CONE,,CyrusOne Inc,NASDAQ,us_market,EQUITY
AFG,american-financial-group-ohio,"American Financial Group, Inc.",NYSE,us_market,EQUITY
RRX,regal-beloit,Regal Rexnord Corporation,NYSE,us_market,EQUITY
REXR,,"Rexford Industrial Realty, Inc.",NYSE,us_market,EQUITY
LEA,lear,Lear Corporation,NYSE,us_market,EQUITY
AA,alcoa,Alcoa Corporation,NYSE,us_market,EQUITY
CIEN,ciena,Ciena Corporation,NYSE,us_market,EQUITY
CLF,cleveland-cliffs,Cleveland-Cliffs Inc.,NYSE,us_market,EQUITY
PCTY,paylocity,Paylocity Holding Corporation,NASDAQ,us_market,EQUITY
MIDD,middleby,The Middleby Corporation,NASDAQ,us_market,EQUITY
LII,lennox-international,"Lennox International, Inc.",NYSE,us_market,EQUITY
SCI,service-international,Service Corporation International,NYSE,us_market,EQUITY
CAR,avis-budget-group,"Avis Budget Group, Inc.",NASDAQ,us_market,EQUITY
DAR,darling-ingredients,Darling Ingredients Inc.,NYSE,us_market,EQUITY
WSM,williams-sonoma,"Williams-Sonoma, Inc.",NYSE,us_market,EQUITY
BRKR,bruker,Bruker Corporation,NASDAQ,us_market,EQUITY
HUBB,hubbell,Hubbell Inc,NYSE,us_market,EQUITY
ACM,aecom,AECOM,NYSE,us_market,EQUITY
GXO,,"GXO Logistics, Inc.",NYSE,us_market,EQUITY
SNX,synnex,TD SYNNEX Corporation,NYSE,us_market,EQUITY
AZPN,aspen-technology,"Aspen Technology, Inc.",NASDAQ,us_market,EQUITY
RS,reliance-steel-and-aluminium,Reliance Steel & Aluminum Co.,NYSE,us_market,EQUITY
TTC,toro,Toro Company (The),NYSE,us_market,EQUITY
RGEN,repligen,Repligen Corporation,NASDAQ,us_market,EQUITY
JBL,jabil,Jabil Inc.,NYSE,us_market,EQUITY
FHN,first-horizon,First Horizon Corporation,NYSE,us_market,EQUITY
FIVE,five-below,"Five Below, Inc.",NASDAQ,us_market,EQUITY
MKSI,mks-instruments,"MKS Instruments, Inc.",NASDAQ,us_market,EQUITY
DKS,dicks-sporting-goods,Dick's Sporting Goods Inc,NYSE,us_market,EQUITY
G,genpact,Genpact Limited,NYSE,us_market,EQUITY
RH,rh,RH,NYSE,us_market,EQUITY
SYNA,synaptics,Synaptics Incorporated,NASDAQ,us_market,EQUITY
UGI,ugi,UGI Corporation,NYSE,us_market,EQUITY
AXON,axon-enterprise,"Axon Enterprise, Inc.",NASDAQ,us_market,EQUITY
OC,owens-corning,Owens Corning Inc,NYSE,us_market,EQUITY
SYNH,syneos-health,"Syneos Health, Inc.",NASDAQ,us_market,EQUITY
UTHR,united-therapeutics,United Therapeutics Corporation,NASDAQ,us_market,EQUITY
CABO,cable-one,"Cable One, Inc.",NYSE,us_market,EQUITY
AGCO,agco,AGCO Corporation,NYSE,us_market,EQUITY
KNX,knight-swift,Knight-Swift Transportation Holdings Inc.,NYSE,us_market,EQUITY
Y,alleghany,Alleghany Corporation,NYSE,us_market,EQUITY
ARW,arrow-electronics,"Arrow Electronics, Inc.",NYSE,us_market,EQUITY
JEF,jefferies-financial,Jefferies Financial Group Inc.,NYSE,us_market,EQUITY
STOR,,STORE Capital Corporation,NYSE,us_market,EQUITY
LAD,lithia-motors-inc,"Lithia Motors, Inc.",NYSE,us_market,EQUITY
GME,gamestop,GameStop Corporation,NYSE,us_market,EQUITY
PEN,penumbra,"Penumbra, Inc.",NYSE,us_market,EQUITY
CFR,cullen-frost-bankers,"Cullen/Frost Bankers, Inc.",NYSE,us_market,EQUITY
CNXC,,Concentrix Corporation,NASDAQ,us_market,EQUITY
SMG,scotts-miracle-gro-company,Scotts Miracle-Gro Company (The),NYSE,us_market,EQUITY
DECK,deckers-outdoor,Deckers Outdoor Corporation,NYSE,us_market,EQUITY
EQT,eqt,EQT Corporation,NYSE,us_market,EQUITY
FSLR,first-solar,"First Solar, Inc.",NASDAQ,us_market,EQUITY
FAF,first-american,First American Corporation (New),NYSE,us_market,EQUITY
CPRI,capri-holdings,Capri Holdings Limited,NYSE,us_market,EQUITY
JAZZ,jazz-pharmaceuticals,Jazz Pharmaceuticals plc,NASDAQ,us_market,EQUITY
CBSH,commerce-bancshares,"Commerce Bancshares, Inc.",NASDAQ,us_market,EQUITY
OLN,olin,Olin Corporation,NYSE,us_market,EQUITY
MANH,manhattan-associates,"Manhattan Associates, Inc.",NASDAQ,us_market,EQUITY
LSCC,lattice-semiconductor,Lattice Semiconductor Corporation,NASDAQ,us_market,EQUITY
SEIC,sei-investment,SEI Investments Company,NASDAQ,us_market,EQUITY
AIRC,,Apartment Income REIT Corp.,NYSE,us_market,EQUITY
EGP,,"EastGroup Properties, Inc.",NYSE,us_market,EQUITY
THC,tenet-healthcare,Tenet Healthcare Corporation,NYSE,us_market,EQUITY
ITT,itt,ITT Inc.,NYSE,us_market,EQUITY
CHH,choice-hotels-international,"Choice Hotels International, Inc.",NYSE,us_market,EQUITY
GNTX,gentex,Gentex Corporation,NASDAQ,us_market,EQUITY
NNN,,National Retail Properties,NYSE,us_market,EQUITY
CHDN,churchill-downs,"Churchill Downs, Incorporated",NASDAQ,us_market,EQUITY
KRC,,Kilroy Realty Corporation,NYSE,us_market,EQUITY
FR,,"First Industrial Realty Trust, Inc.",NYSE,us_market,EQUITY
OSK,oshkosh,Oshkosh Corporation (Holding Company),NYSE,us_market,EQUITY
TPX,tempur-sealy-international,"Tempur Sealy International, Inc.",NYSE,us_market,EQUITY
PNFP,pinnacle-financial-partners,"Pinnacle Financial Partners, Inc.",NASDAQ,us_market,EQUITY
BJ,bjs-whsl-club-hldgs,"BJ's Wholesale Club Holdings, Inc.",NYSE,us_market,EQUITY
VOYA,voya-financial,"Voya Financial, Inc.",NYSE,us_market,EQUITY
TTEK,tetra-tech,"Tetra Tech, Inc.",NASDAQ,us_market,EQUITY
TOL,toll-bros,"Toll Brothers, Inc.",NYSE,us_market,EQUITY
XPO,xpo-logistics,"XPO Logistics, Inc.",NYSE,us_market,EQUITY
LECO,lincoln-electric,"Lincoln Electric Holdings, Inc.",NASDAQ,us_market,EQUITY
WH,wyndham-hotels,"Wyndham Hotels & Resorts, Inc.",NYSE,us_market,EQUITY
RNR,renaissancere,RenaissanceRe Holdings Ltd.,NYSE,us_market,EQUITY
ATR,aptargroup,"AptarGroup, Inc.",NYSE,us_market,EQUITY
